# graph  collection  method   topo  seeds  duration   maxCongestion    maxDilation    avgDilation  Cut   TCV
PGPgiantcompo.graph        network      KAHIP      grid16x16      1     1.457675     403      227     12.5065     6166.0     18172.0
PGPgiantcompo.graph        network      KAHIP      grid16x16      2     1.457675     425      188     13.335     6004.0     19029.0
PGPgiantcompo.graph        network      KAHIP      grid16x16      3     1.457675     507      262     12.5665     6111.0     18058.0
PGPgiantcompo.graph        network      KAHIP      grid16x16      4     1.457675     510      274     12.492     5976.0     18001.0
PGPgiantcompo.graph        network      KAHIP      grid16x16      5     1.457675     504      188     12.5693     6086.0     18037.0
PGPgiantcompo.graph        network      KAHIP      grid8x8x8      1     2.297947     478      273     8.82477     8915.0     20950.0
PGPgiantcompo.graph        network      KAHIP      grid8x8x8      2     2.297947     495      273     9.15519     8810.0     21533.0
PGPgiantcompo.graph        network      KAHIP      grid8x8x8      3     2.297947     461      280     9.19066     8851.0     21837.0
PGPgiantcompo.graph        network      KAHIP      grid8x8x8      4     2.297947     439      275     9.54268     8920.0     22473.0
PGPgiantcompo.graph        network      KAHIP      grid8x8x8      5     2.297947     480      308     8.74507     8747.0     20411.0
PGPgiantcompo.graph        network      KAHIP      8-dimHQ      1     1.457675     247      227     7.81005     6166.0     11348.0
PGPgiantcompo.graph        network      KAHIP      8-dimHQ      2     1.457675     179      188     7.56202     6004.0     10791.0
PGPgiantcompo.graph        network      KAHIP      8-dimHQ      3     1.457675     263      262     7.61517     6111.0     10943.0
PGPgiantcompo.graph        network      KAHIP      8-dimHQ      4     1.457675     310      274     7.41083     5976.0     10679.0
PGPgiantcompo.graph        network      KAHIP      8-dimHQ      5     1.457675     243      188     7.54564     6086.0     10828.0
PGPgiantcompo.graph        network      KAHIP      torus16x16      1     1.457675     390      227     11.4267     6166.0     16603.0
PGPgiantcompo.graph        network      KAHIP      torus16x16      2     1.457675     415      188     11.726     6004.0     16733.0
PGPgiantcompo.graph        network      KAHIP      torus16x16      3     1.457675     447      262     11.3236     6111.0     16272.0
PGPgiantcompo.graph        network      KAHIP      torus16x16      4     1.457675     467      274     11.2519     5976.0     16214.0
PGPgiantcompo.graph        network      KAHIP      torus16x16      5     1.457675     378      188     11.4014     6086.0     16361.0
PGPgiantcompo.graph        network      KAHIP      torus8x8x8      1     2.297947     479      273     7.87911     8915.0     18705.0
PGPgiantcompo.graph        network      KAHIP      torus8x8x8      2     2.297947     472      273     7.89456     8810.0     18568.0
PGPgiantcompo.graph        network      KAHIP      torus8x8x8      3     2.297947     436      280     7.90446     8851.0     18781.0
PGPgiantcompo.graph        network      KAHIP      torus8x8x8      4     2.297947     503      275     7.95924     8920.0     18744.0
