# graph  collection  method   topo  seeds  duration   maxCongestion    maxDilation    avgDilation  Cut   TCV
PGPgiantcompo.graph        network      KAHIP      grid16x16      1     1.457675     474      736     21.5637     6166.0     31332.0
PGPgiantcompo.graph        network      KAHIP      grid16x16      2     1.457675     602      390     20.3595     6004.0     29053.0
PGPgiantcompo.graph        network      KAHIP      grid16x16      3     1.457675     694      1120     20.9589     6111.0     30118.0
PGPgiantcompo.graph        network      KAHIP      grid16x16      4     1.457675     653      336     20.0458     5976.0     28886.0
PGPgiantcompo.graph        network      KAHIP      grid16x16      5     1.457675     550      640     20.5889     6086.0     29545.0
PGPgiantcompo.graph        network      KAHIP      grid8x8x8      1     2.297947     544      273     14.3745     8915.0     34125.0
PGPgiantcompo.graph        network      KAHIP      grid8x8x8      2     2.297947     436      380     14.9341     8810.0     35125.0
PGPgiantcompo.graph        network      KAHIP      grid8x8x8      3     2.297947     710      424     15.4865     8851.0     36796.0
PGPgiantcompo.graph        network      KAHIP      grid8x8x8      4     2.297947     572      330     15.2374     8920.0     35884.0
PGPgiantcompo.graph        network      KAHIP      grid8x8x8      5     2.297947     428      308     14.5094     8747.0     33865.0
PGPgiantcompo.graph        network      KAHIP       8-dimHQ      1     1.457675     377      234     9.10323     6166.0     13227.0
PGPgiantcompo.graph        network      KAHIP       8-dimHQ      2     1.457675     420      188     8.61738     6004.0     12297.0
PGPgiantcompo.graph        network      KAHIP       8-dimHQ      3     1.457675     301      322     8.99304     6111.0     12923.0
PGPgiantcompo.graph        network      KAHIP       8-dimHQ      4     1.457675     429      274     8.93199     5976.0     12871.0
PGPgiantcompo.graph        network      KAHIP       8-dimHQ      5     1.457675     440      330     9.19443     6086.0     13194.0
PGPgiantcompo.graph        network      KAHIP      torus16x16      1     1.457675     609      351     17.1287     6166.0     24888.0
PGPgiantcompo.graph        network      KAHIP      torus16x16      2     1.457675     686      336     15.8003     6004.0     22547.0
PGPgiantcompo.graph        network      KAHIP      torus16x16      3     1.457675     676      1120     17.4558     6111.0     25084.0
PGPgiantcompo.graph        network      KAHIP      torus16x16      4     1.457675     653      300     15.8973     5976.0     22908.0
PGPgiantcompo.graph        network      KAHIP      torus16x16      5     1.457675     464      320     16.5666     6086.0     23773.0
PGPgiantcompo.graph        network      KAHIP      torus8x8x8      1     2.297947     450      273     11.5539     8915.0     27429.0
PGPgiantcompo.graph        network      KAHIP      torus8x8x8      2     2.297947     555      273     11.5183     8810.0     27091.0
PGPgiantcompo.graph        network      KAHIP      torus8x8x8      3     2.297947     543      424     11.6801     8851.0     27752.0
PGPgiantcompo.graph        network      KAHIP      torus8x8x8      4     2.297947     466      275     11.9321     8920.0     28100.0
PGPgiantcompo.graph        network      KAHIP      torus8x8x8      5     2.297947     531      308     11.2926     8747.0     26357.0
PGPgiantcompo.graph        network      KAHIP_ID      grid16x16      1     9.15763     446      319     18.184     7161.0     28567.0
PGPgiantcompo.graph        network      KAHIP_ID      grid16x16      2     8.98061     610      390     18.5797     6934.0     27275.0
