# graph  collection  method   topo  seeds  duration   maxCongestion    maxDilation    avgDilation  Cut   TCV
PGPgiantcompo.graph        network      KAHIP      grid16x16      1     1.457675     745      278     22.861     6166.0     33217.0
PGPgiantcompo.graph        network      KAHIP      grid16x16      2     1.457675     766      280     24.4114     6004.0     34835.0
PGPgiantcompo.graph        network      KAHIP      grid16x16      3     1.457675     662      322     23.0084     6111.0     33063.0
PGPgiantcompo.graph        network      KAHIP      grid16x16      4     1.457675     654      274     22.4781     5976.0     32391.0
PGPgiantcompo.graph        network      KAHIP      grid16x16      5     1.457675     538      330     19.9017     6086.0     28559.0
PGPgiantcompo.graph        network      KAHIP      grid8x8x8      1     2.297947     524      285     16.7363     8915.0     39732.0
PGPgiantcompo.graph        network      KAHIP      grid8x8x8      2     2.297947     502      300     15.7088     8810.0     36947.0
PGPgiantcompo.graph        network      KAHIP      grid8x8x8      3     2.297947     490      280     15.5168     8851.0     36868.0
PGPgiantcompo.graph        network      KAHIP      grid8x8x8      4     2.297947     569      275     16.0994     8920.0     37914.0
PGPgiantcompo.graph        network      KAHIP      grid8x8x8      5     2.297947     469      308     14.4632     8747.0     33757.0
PGPgiantcompo.graph        network      KAHIP      8-dimHQ      1     1.457675     282      278     11.1686     6166.0     16228.0
PGPgiantcompo.graph        network      KAHIP      8-dimHQ      2     1.457675     481      246     11.0897     6004.0     15825.0
PGPgiantcompo.graph        network      KAHIP      8-dimHQ      3     1.457675     574      322     11.6583     6111.0     16753.0
PGPgiantcompo.graph        network      KAHIP      8-dimHQ      4     1.457675     305      274     11.0014     5976.0     15853.0
PGPgiantcompo.graph        network      KAHIP      8-dimHQ      5     1.457675     389      330     10.7498     6086.0     15426.0
PGPgiantcompo.graph        network      KAHIP      torus16x16      1     1.457675     606      278     19.2312     6166.0     27943.0
PGPgiantcompo.graph        network      KAHIP      torus16x16      2     1.457675     548      246     19.1766     6004.0     27365.0
PGPgiantcompo.graph        network      KAHIP      torus16x16      3     1.457675     639      322     19.4955     6111.0     28015.0
PGPgiantcompo.graph        network      KAHIP      torus16x16      4     1.457675     640      274     18.6239     5976.0     26837.0
PGPgiantcompo.graph        network      KAHIP      torus16x16      5     1.457675     516      330     18.3854     6086.0     26383.0
PGPgiantcompo.graph        network      KAHIP      torus8x8x8      1     2.297947     530      273     13.2182     8915.0     31380.0
PGPgiantcompo.graph        network      KAHIP      torus8x8x8      2     2.297947     445      273     13.0727     8810.0     30747.0
PGPgiantcompo.graph        network      KAHIP      torus8x8x8      3     2.297947     387      280     13.1751     8851.0     31304.0
PGPgiantcompo.graph        network      KAHIP      torus8x8x8      4     2.297947     400      275     13.0985     8920.0     30847.0
