# graph  collection  method   topo  seeds  duration   maxCongestion    maxDilation    avgDilation  Cut   TCV
PGPgiantcompo.graph        network      SCOTCH      grid16x16      1     0.1245183     1404      374     16.098     23526.0     249535.0
PGPgiantcompo.graph        network      SCOTCH      grid16x16      2     0.1245183     1404      374     16.098     23526.0     249535.0
PGPgiantcompo.graph        network      SCOTCH      grid16x16      3     0.1245183     1404      374     16.098     23526.0     249535.0
PGPgiantcompo.graph        network      SCOTCH      grid16x16      4     0.1245183     1404      374     16.098     23526.0     249535.0
PGPgiantcompo.graph        network      SCOTCH      grid16x16      5     0.1245183     1404      374     16.098     23526.0     249535.0
PGPgiantcompo.graph        network      SCOTCH      grid8x8x8      1     0.1372402     444      128     9.11463     23615.0     184471.0
PGPgiantcompo.graph        network      SCOTCH      grid8x8x8      2     0.1372402     444      128     9.11463     23615.0     184471.0
PGPgiantcompo.graph        network      SCOTCH      grid8x8x8      3     0.1372402     444      128     9.11463     23615.0     184471.0
PGPgiantcompo.graph        network      SCOTCH      grid8x8x8      4     0.1372402     444      128     9.11463     23615.0     184471.0
PGPgiantcompo.graph        network      SCOTCH      grid8x8x8      5     0.1372402     444      128     9.11463     23615.0     184471.0
PGPgiantcompo.graph        network      SCOTCH      8-dimHQ      1     0.1206918     246      68     6.03807     23530.0     94218.0
PGPgiantcompo.graph        network      SCOTCH      8-dimHQ      2     0.1206918     202      68     6.03807     23530.0     94218.0
PGPgiantcompo.graph        network      SCOTCH      8-dimHQ      3     0.1206918     248      68     6.03807     23530.0     94218.0
PGPgiantcompo.graph        network      SCOTCH      8-dimHQ      4     0.1206918     246      68     6.03807     23530.0     94218.0
PGPgiantcompo.graph        network      SCOTCH      8-dimHQ      5     0.1206918     247      68     6.03807     23530.0     94218.0
PGPgiantcompo.graph        network      SCOTCH      torus16x16      1     0.1233491     601      238     12.2289     23543.0     189695.0
PGPgiantcompo.graph        network      SCOTCH      torus16x16      2     0.1233491     601      238     12.2289     23543.0     189695.0
PGPgiantcompo.graph        network      SCOTCH      torus16x16      3     0.1233491     601      238     12.2289     23543.0     189695.0
PGPgiantcompo.graph        network      SCOTCH      torus16x16      4     0.1233491     601      238     12.2289     23543.0     189695.0
PGPgiantcompo.graph        network      SCOTCH      torus16x16      5     0.1233491     601      238     12.2289     23543.0     189695.0
PGPgiantcompo.graph        network      SCOTCH      torus8x8x8      1     0.1383702     183      96     7.03411     23606.0     141660.0
PGPgiantcompo.graph        network      SCOTCH      torus8x8x8      2     0.1383702     183      96     7.03411     23606.0     141660.0
PGPgiantcompo.graph        network      SCOTCH      torus8x8x8      3     0.1383702     183      96     7.03411     23606.0     141660.0
PGPgiantcompo.graph        network      SCOTCH      torus8x8x8      4     0.1383702     183      96     7.03411     23606.0     141660.0
PGPgiantcompo.graph        network      SCOTCH      torus8x8x8      5     0.1383702     183      96     7.03411     23606.0     141660.0
PGPgiantcompo.graph        network      SCOTCH_alma      grid16x16      1     11.9656     1858      336     12.6563     22598.0     124563.0
PGPgiantcompo.graph        network      SCOTCH_alma      grid16x16      2     11.9267     1926      324     12.6962     22612.0     124105.0
PGPgiantcompo.graph        network      SCOTCH_alma      grid16x16      3     11.9204     1719      299     12.6168     22584.0     124389.0
PGPgiantcompo.graph        network      SCOTCH_alma      grid16x16      4     12.8957     1665      216     12.4823     22213.0     118170.0
PGPgiantcompo.graph        network      SCOTCH_alma      grid16x16      5     12.899     1874      336     12.4576     22128.0     116142.0
PGPgiantcompo.graph        network      SCOTCH_alma      grid8x8x8      1     8.9199     960      164     6.87947     22960.0     95659.0
PGPgiantcompo.graph        network      SCOTCH_alma      grid8x8x8      2     8.87978     938      264     7.15582     23364.0     104525.0
PGPgiantcompo.graph        network      SCOTCH_alma      grid8x8x8      3     9.14585     743      110     7.03862     23393.0     104418.0
