# FILE    METHOD   UBFACTOR     NPARTS     SEED     CUT     TIME
PGPgiantcompo.graph       KAHIP       3       256      1      6166     1.45215
PGPgiantcompo.graph       KAHIP       3       256      2      6004     1.43415
PGPgiantcompo.graph       KAHIP       3       256      3      6111     1.55723
PGPgiantcompo.graph       KAHIP       3       256      4      5976     1.44465
PGPgiantcompo.graph       KAHIP       3       256      5      6086     1.34993
PGPgiantcompo.graph       KAHIP       3       256      6      6024     1.4159
PGPgiantcompo.graph       KAHIP       3       256      7      6061     1.52604
PGPgiantcompo.graph       KAHIP       3       256      8      6082     1.40359
PGPgiantcompo.graph       KAHIP       3       256      9      6060     1.49308
PGPgiantcompo.graph       KAHIP       3       512      1      8915     2.27425
PGPgiantcompo.graph       KAHIP       3       512      2      8810     2.17451
PGPgiantcompo.graph       KAHIP       3       512      3      8851     2.30351
PGPgiantcompo.graph       KAHIP       3       512      4      8920     2.30856
PGPgiantcompo.graph       KAHIP       3       512      5      8747     2.35538
PGPgiantcompo.graph       KAHIP       3       512      6      8730     2.40261
PGPgiantcompo.graph       KAHIP       3       512      7      8703     2.31728
PGPgiantcompo.graph       KAHIP       3       512      8      8832     2.35731
PGPgiantcompo.graph       KAHIP       3       512      9      8802     2.2798
PGPgiantcompo.graph       KAHIP       3      512     10      8844     2.20626
PGPgiantcompo.graph       KAHIP       3       256      10      6055     1.50003
as-22july06.graph       KAHIP       3       256      1      27030     11.7694
as-22july06.graph       KAHIP       3       256      2      26898     11.263
as-22july06.graph       KAHIP       3       256      3      26938     10.6549
as-22july06.graph       KAHIP       3       256      4      26958     10.9505
as-22july06.graph       KAHIP       3       256      5      26907     11.5432
as-22july06.graph       KAHIP       3       256      6      26996     10.7698
as-22july06.graph       KAHIP       3       256      7      27016     10.9079
as-22july06.graph       KAHIP       3       256      8      26913     11.4086
as-22july06.graph       KAHIP       3       256      9      27019     11.0646
as-22july06.graph       KAHIP       3       512      1      30439     13.7527
as-22july06.graph       KAHIP       3       512      2      30584     13.8665
as-22july06.graph       KAHIP       3       512      3      30433     13.2114
as-22july06.graph       KAHIP       3       512      4      30506     13.63
as-22july06.graph       KAHIP       3       512      5      30461     13.697
as-22july06.graph       KAHIP       3       512      6      30500     13.224
as-22july06.graph       KAHIP       3       512      7      30485     14.091
as-22july06.graph       KAHIP       3       512      8      30381     13.0153
as-22july06.graph       KAHIP       3       512      9      30537     12.8591
as-22july06.graph       KAHIP       3      512     10      30487     14.2488
as-22july06.graph       KAHIP       3       256      10      26949     11.4627
as-skitter.graph       KAHIP       3       256      1      2438744     1588.41
as-skitter.graph       KAHIP       3       256      2      2438675     1439.45
as-skitter.graph       KAHIP       3       256      3      2424177     1415.3
