                         FILE NPARTS    ECMEAN    TIMEMEAN
1         PGPgiantcompo.graph    256    6062.5    1.457675
2           as-22july06.graph    256   26962.4   11.179460
3            as-skitter.graph    256 2427424.9 1439.316000
4      citationCiteseer.graph    256  322659.9  217.951400
5     coAuthorsCiteseer.graph    256   84896.0   58.120730
6         coAuthorsDBLP.graph    256  178760.3  157.871100
7      coPapersCiteseer.graph    256 1560247.1  780.491100
8          coPapersDBLP.graph    256 2373421.0 1517.283000
9           email-EuAll.graph    256   44853.0   22.919990
10 loc-brightkite_edges.graph    256   96834.8  113.720300
11    loc-gowalla_edges.graph    256  424490.7  461.583800
12       p2p-Gnutella04.graph    256   21511.8   16.377570
13     soc-Slashdot0902.graph    256  324974.3  887.896700
14           web-Google.graph    256  173280.8  128.843200
15            wiki-Talk.graph    256 1191028.2 1657.273000
16        PGPgiantcompo.graph    512    8815.4    2.297947
17          as-22july06.graph    512   30481.3   13.559580
18           as-skitter.graph    512 2784042.3 2557.827000
19     citationCiteseer.graph    512  381235.1  367.716600
20    coAuthorsCiteseer.graph    512   95159.7   69.162710
21        coAuthorsDBLP.graph    512  191005.1  233.000000
22     coPapersCiteseer.graph    512 2130633.6  841.656500
23         coPapersDBLP.graph    512 2698653.3 2377.680000
24          email-EuAll.graph    512   49452.8   17.459610
25 loc-brightkite_edges.graph    512  111146.6  155.384200
26    loc-gowalla_edges.graph    512  470505.7 1174.742000
27       p2p-Gnutella04.graph    512   22539.2   17.400730
28     soc-Slashdot0902.graph    512  335547.2 1671.585000
29           web-Google.graph    512  248649.5  130.986000
30            wiki-Talk.graph    512 1233232.3 4044.640000
