# FILE   COLLECTION    METHOD    UBFACTOR  TOPO     SEED     TIME
PGPgiantcompo.graph        network       SCOTCH       3       grid16x16      10       0.122454
PGPgiantcompo.graph        network       SCOTCH       3       grid16x16      1       0.123083
PGPgiantcompo.graph        network       SCOTCH       3       grid16x16      2       0.122895
PGPgiantcompo.graph        network       SCOTCH       3       grid16x16      3       0.121854
PGPgiantcompo.graph        network       SCOTCH       3       grid16x16      4       0.123
PGPgiantcompo.graph        network       SCOTCH       3       grid16x16      5       0.136907
PGPgiantcompo.graph        network       SCOTCH       3       grid16x16      6       0.123944
PGPgiantcompo.graph        network       SCOTCH       3       grid16x16      7       0.123395
PGPgiantcompo.graph        network       SCOTCH       3       grid16x16      8       0.123744
PGPgiantcompo.graph        network       SCOTCH       3       grid16x16      9       0.123907
PGPgiantcompo.graph        network       SCOTCH       3       grid8x8x8      10       0.134483
PGPgiantcompo.graph        network       SCOTCH       3       grid8x8x8      1       0.135325
PGPgiantcompo.graph        network       SCOTCH       3       grid8x8x8      2       0.134032
PGPgiantcompo.graph        network       SCOTCH       3       grid8x8x8      3       0.136498
PGPgiantcompo.graph        network       SCOTCH       3       grid8x8x8      4       0.135033
PGPgiantcompo.graph        network       SCOTCH       3       grid8x8x8      5       0.13427
PGPgiantcompo.graph        network       SCOTCH       3       grid8x8x8      6       0.134381
PGPgiantcompo.graph        network       SCOTCH       3       grid8x8x8      7       0.159071
PGPgiantcompo.graph        network       SCOTCH       3       grid8x8x8      8       0.134688
PGPgiantcompo.graph        network       SCOTCH       3       grid8x8x8      9       0.134621
PGPgiantcompo.graph        network       SCOTCH       3       hypercube2x2x2x2x2x2x2x2      10       0.121266
PGPgiantcompo.graph        network       SCOTCH       3       hypercube2x2x2x2x2x2x2x2      1       0.120169
PGPgiantcompo.graph        network       SCOTCH       3       hypercube2x2x2x2x2x2x2x2      2       0.121436
PGPgiantcompo.graph        network       SCOTCH       3       hypercube2x2x2x2x2x2x2x2      3       0.119377
PGPgiantcompo.graph        network       SCOTCH       3       hypercube2x2x2x2x2x2x2x2      4       0.120226
PGPgiantcompo.graph        network       SCOTCH       3       hypercube2x2x2x2x2x2x2x2      5       0.120966
PGPgiantcompo.graph        network       SCOTCH       3       hypercube2x2x2x2x2x2x2x2      6       0.121704
PGPgiantcompo.graph        network       SCOTCH       3       hypercube2x2x2x2x2x2x2x2      7       0.120611
PGPgiantcompo.graph        network       SCOTCH       3       hypercube2x2x2x2x2x2x2x2      8       0.121268
PGPgiantcompo.graph        network       SCOTCH       3       hypercube2x2x2x2x2x2x2x2      9       0.119895
